semestre,codigo,nombre_completo,creditos,pre_requisitos,obligatorio
Primero,0017,Área Social Humanística 1,3,,True
Primero,0069,Área Técnica Complementaria 1,4,,True
Primero,0101,Área Matemática Básica 1,9,,True
Primero,0348,Química General 1,7,,True
Primero,0006,Idioma Técnico 1,3,,False
Primero,0039,Deportes 1,2,,False
Segundo,0005,Técnicas de Estudio e Investigación,3,,True
Segundo,0019,Área Social Humanística 2,3,0017,True
Segundo,0103,Área Matemática Básica 2,9,0101,True
Segundo,0147,Física Básica,5,0101,True
Segundo,0769,Introducción a la Programación de Computadoras,5,0101,True
Segundo,0008,Idioma Técnico 2,3,0006,False
Segundo,0040,Deportes 2,2,0039,False
Segundo,0071,Área Técnica Complementaria 2,4,0069,False
Tercero,0018,Filosofía de la Ciencia,1,0019,True
Tercero,0107,Área Matemática Intermedia 1,9,0103,True
Tercero,0150,Física 1,5,"0103, 0147",True
Tercero,0991,Lenguajes de Programación Aplicados a I.E.,5,0769,True
Tercero,2025,Prácticas Iniciales,,"0103, 0769",True
Tercero,0009,Idioma Técnico 3,3,0008,False
Tercero,0662,Legislación 1,3,0019,False
Cuarto,0010,Lógica,1,0019,True
Cuarto,0112,Área Matemática Intermedia 2,6,0107,True
Cuarto,0114,Área Matemática Intermedia 3,6,0107,True
Cuarto,0152,Física 2,6,"0107, 0150",True
Cuarto,0732,Estadística 1,5,"0107, 0005",True
Cuarto,0011,Idioma Técnico 4,3,0009,False
Quinto,0001,Ética Profesional,2,0019,True
Quinto,0118,Matemática Aplicada 1,5,"0112, 0114",True
Quinto,0123,Matemática Aplicada 5,5,"0112, 0114",True
Quinto,0154,Física 3,6,0152,True
Quinto,0204,Circuitos Eléctricos 1,7,"0112, 0114, 0152",True
Quinto,0736,Análisis Probabilístico,5,0732,True
Quinto,0601,Investigación de Operaciones I,6,0991,False
Sexto,0156,Física 4,6,0154,True
Sexto,0206,Circuitos Eléctricos 2,7,"0118, 0123, 0204",True
Sexto,0210,Teoría Electromagnética 1,6,"0118, 0123, 0154",True
Sexto,0462,Electricidad y Electrónica Básica,6,0152,True
Sexto,0022,Psicología Industrial,3,0732,False
Sexto,0120,Matemática Aplicada 2,5,0118,False
Sexto,0122,Matemática Aplicada 4,5,0118,False
Sexto,0653,Ingeniería de Costos,4,0732,False
Séptimo,0170,Mecánica Analítica 1,4,"0107, 0150",True
Séptimo,0212,Conversión de Energía Electromecánica 1,7,"0204, 0210",True
Séptimo,0218,Líneas de Transmisión,5,"0204, 0210",True
Séptimo,0230,Instrumentación Eléctrica,7,"0206, 0732",True
Séptimo,0232,Electrónica 1,6,"0204, 0462",True
Séptimo,2036,Prácticas Intermedias,,"2025, 0210, 0206",True
Séptimo,0116,Matemática Aplicada 3,5,"0112, 0114",False
Séptimo,0211,Teoría Electromagnética 2,5,0210,False
Séptimo,0659,Administración de Recursos Humanos,6,0022,False
Octavo,0213,Conversión de Energía Electromecánica 2,5,0212,True
Octavo,0214,Máquinas Eléctricas,7,"0206, 0212",True
Octavo,0219,Transmisión y Distribución,5,"0170, 0212, 0218",True
Octavo,0236,Sistemas de Control 1,5,"0212, 0232",True
Octavo,0700,Ingeniería Económica 1,4,0732,True
Octavo,0250,Mecánica de Fluidos,5,"0114, 0170",False
Noveno,0216,Subestaciones,5,"0213, 0214, 0218",True
Noveno,0220,Análisis de Sistemas de Potencia 1,7,"0213, 0214, 0218",True
Noveno,0224,Alta Tensión,7,"0213, 0214, 0218",True
Noveno,0246,Electrónica 3,6,0232,True
Noveno,0672,Fundamentos de Administración,4,"2036, 0700",True
Noveno,2004,Prácticas Finales Ingeniería Eléctrica,,2036,True
Noveno,0241,Radiocomunicaciones Terrestres,5,0211,False
Noveno,0242,Comunicaciones 1,6,"0206, 0736, 0232, 0210",False
Noveno,0288,Introducción al Estudio de Impacto Ambiental,4,"0214, 0212",False
Noveno,0390,Termodinámica 1,6,0250,False
Décimo,0208,Instalaciones Eléctricas,6,0214,True
Décimo,0221,Sistemas de Generación,5,"0220, 0236",True
Décimo,0222,Protección de Sistemas de Potencia,5,"0220, 0213",True
Décimo,0238,Automatización Industrial,6,0214,True
Décimo,0706,Preparación y Evaluación de Proyectos 1,5,0700,True
Décimo,7904,Seminario de Investigación Eléctrica,3,"0220, 0216",True
Décimo,0237,Sistemas de Control 2,5,0236,False
Décimo,7984,Seminario de Investigación E.P.S. Eléctrica,3,"0220, 0216",False
