semestre,codigo,nombre_completo,creditos,pre_requisitos,obligatorio
Primero,0005,Técnicas de Estudio e Investigación,3,,True
Primero,0017,Área Social Humanística 1,3,,True
Primero,0069,Área Técnica Complementaria 1,4,,True
Primero,0101,Área Matemática Básica 1,9,,True
Primero,0348,Química General 1,7,,True
Primero,0006,Idioma Técnico 1,3,,False
Primero,0039,Deportes 1,2,,False
Segundo,0019,Área Social Humanística 2,3,0017,True
Segundo,0028,Ecología,4,"0017, 0348",True
Segundo,0073,Dibujo Técnico Mecánico,3,0069,True
Segundo,0103,Área Matemática Básica 2,9,0101,True
Segundo,0147,Física Básica,5,0101,True
Segundo,0008,Idioma Técnico 2,3,0006,False
Segundo,0040,Deportes 2,2,0039,False
Tercero,0107,Área Matemática Intermedia 1,9,0103,True
Tercero,0150,Física 1,5,"0103, 0147",True
Tercero,0662,Legislación 1,3,0019,True
Tercero,2025,Prácticas Iniciales,,0103,True
Tercero,0001,Ética Profesional,2,0019,False
Tercero,0010,Lógica,1,0019,False
Tercero,0018,Filosofía de la Ciencia,1,0019,False
Tercero,0352,Química 2,6,"0101, 0147, 0348",False
Cuarto,0112,Área Matemática Intermedia 2,6,0107,True
Cuarto,0114,Área Matemática Intermedia 3,6,0107,True
Cuarto,0152,Física 2,6,"0107, 0150",True
Cuarto,0170,Mecánica Analítica 1,4,"0107, 0150",True
Cuarto,0732,Estadística 1,5,"0107, 0005",True
Quinto,0090,Programación de Computadoras 1,3,"0114, 0732",True
Quinto,0116,Matemática Aplicada 3,5,"0112, 0114",True
Quinto,0172,Mecánica Analítica 2,5,"0114, 0170",True
Quinto,0200,Ingeniería Eléctrica 1,6,"0114, 0152",True
Quinto,0250,Mecánica de Fluidos,5,"0114, 0170",True
Quinto,0462,Electricidad y Electrónica Básica,6,0152,False
Sexto,0202,Ingeniería Eléctrica 2,6,0200,True
Sexto,0252,Hidráulica,5,0250,True
Sexto,0300,Resistencia de Materiales 1,5,"0114, 0170",True
Sexto,0390,Termodinámica 1,6,0250,True
Sexto,0452,Ciencia de los Materiales,4,0152,True
Sexto,0734,Estadística 2,5,0732,False
Séptimo,0258,Máquinas Hidráulicas,6,0252,True
Séptimo,0302,Resistencia de Materiales 2,5,0300,True
Séptimo,0392,Termodinámica 2,6,0390,True
Séptimo,0520,Procesos de Manufactura 1,5,0452,True
Séptimo,0530,Mecanismos,3,"0172, 0452",True
Séptimo,2036,Prácticas Intermedias,,"0452, 0390",True
Séptimo,0009,Idioma Técnico 3,3,0008,False
Séptimo,0653,Ingeniería de Costos,4,0732,False
Octavo,0454,Metalurgia y Metalografía,6,0452,True
Octavo,0506,Plantas de Vapor,6,0392,True
Octavo,0511,Mantenimiento de Hospitales 1,4,"0202, 0258, 0392",True
Octavo,0522,Procesos de Manufactura 2,5,0520,True
Octavo,0524,Diseño de Máquinas 1,4,"0302, 0452",True
Octavo,0532,Vibraciones,6,0530,True
Octavo,0011,Idioma Técnico 4,3,0009,False
Noveno,0502,Refrigeración y Aire Acondicionado,6,0392,True
Noveno,0508,Montaje y Mantenimiento de Equipo,4,0520,True
Noveno,0513,Mantenimiento de Hospitales 2,4,0511,True
Noveno,0526,Diseño de Máquinas 2,4,0524,True
Noveno,2003,Prácticas Finales Ingeniería Mecánica,,2036,True
Noveno,7993,Seminario de Investigación Mecánica,3,"0454, 0506",True
Noveno,0643,Salud y Seguridad Ocupacional,5,0202,False
Noveno,0700,Ingeniería Económica 1,4,0732,False
Noveno,7983,Seminario de Investigación E.P.S. Mecánica,3,"0454, 0506",False
Décimo,0504,Motores de Combustión Interna,6,0392,True
Décimo,0510,Instalaciones Mecánicas,5,"0506, 0526",True
Décimo,0512,Instrumentación Mecánica,3,"0202, 0506, 0526",True
Décimo,0515,Mantenimiento de Hospitales 3,4,0513,True
Décimo,0528,Diseño de Máquinas 3,4,0526,True
Décimo,0672,Fundamentos de Administración,4,"0732, 0508",True
Décimo,0601,Investigación de Operaciones I,6,0090,False
