semestre,codigo,nombre_completo,creditos,pre_requisitos,obligatorio
Primero,0017,Área Social Humanística 1,3,,True
Primero,0069,Área Técnica Complementaria 1,4,,True
Primero,0101,Área Matemática Básica 1,9,,True
Primero,0348,Química General 1,7,,True
Primero,0006,Idioma Técnico 1,3,,False
Primero,0039,Deportes 1,2,,False
Segundo,0005,Técnicas de Estudio e Investigación,3,,True
Segundo,0019,Área Social Humanística 2,3,0017,True
Segundo,0103,Área Matemática Básica 2,9,0101,True
Segundo,0147,Física Básica,5,0101,True
Segundo,0769,Introducción a la Programación de Computadoras,5,0101,True
Segundo,0008,Idioma Técnico 2,3,0006,False
Segundo,0040,Deportes 2,2,0039,False
Segundo,0071,Área Técnica Complementaria 2,4,0069,False
Tercero,0018,Filosofía de la Ciencia,1,0019,True
Tercero,0107,Área Matemática Intermedia 1,9,0103,True
Tercero,0150,Física 1,5,"0103, 0147",True
Tercero,0991,Lenguajes de Programación Aplicados a I.E.,5,0769,True
Tercero,2025,Prácticas Iniciales,0,"0103, 0769",True
Tercero,0009,Idioma Técnico 3,3,0008,False
Cuarto,0010,Lógica,1,0019,True
Cuarto,0112,Área Matemática Intermedia 2,6,0107,True
Cuarto,0114,Área Matemática Intermedia 3,6,0107,True
Cuarto,0152,Física 2,6,"0107, 0150",True
Cuarto,0732,Estadística 1,5,"0107, 0005",True
Cuarto,0011,Idioma Técnico 4,3,0009,False
Cuarto,0073,Dibujo Técnico Mecánico,3,0069,False
Quinto,0001,Ética Profesional,2,0019,True
Quinto,0118,Matemática Aplicada 1,5,"0112, 0114",True
Quinto,0123,Matemática Aplicada 5,5,"0112, 0114",True
Quinto,0154,Física 3,6,0152,True
Quinto,0170,Mecánica Analítica 1,4,0107,True
Quinto,0204,Circuitos Eléctricos 1,7,"0112, 0114, 0152",True
Quinto,0116,Matemática Aplicada 3,5,"0112, 0114",False
Quinto,0601,Investigación de Operaciones I,6,0991,False
Sexto,0210,Teoría Electromagnética 1,6,"0118, 0123, 0154",True
Sexto,0452,Ciencia de los Materiales,4,0152,True
Sexto,0462,Electricidad y Electrónica Básica,6,0152,True
Sexto,0700,Ingeniería Económica 1,4,0732,True
Sexto,0736,Análisis Probabilístico,5,0732,True
Sexto,0022,Psicología Industrial,3,0732,False
Sexto,0120,Matemática Aplicada 2,5,0118,False
Sexto,0122,Matemática Aplicada 4,5,0118,False
Sexto,0653,Ingeniería de Costos,4,0732,False
Séptimo,0206,Circuitos Eléctricos 2,7,"0118, 0123, 0204",True
Séptimo,0218,Líneas de Transmisión,5,"0204, 0210",True
Séptimo,0300,Resistencia de Materiales 1,5,"0114, 0170",True
Séptimo,0454,Metalurgia y Metalografía,6,0452,True
Séptimo,0520,Procesos de Manufactura 1,5,0452,True
Séptimo,2036,Prácticas Intermedias,0,"2025, 0210, 0204",True
Séptimo,0659,Administración de Recursos Humanos,6,0022,False
Séptimo,0662,Legislación 1,3,0019,False
Octavo,0172,Mecánica Analítica 2,5,"0114, 0170",True
Octavo,0212,Conversión de Energía Electromecánica 1,7,"0204, 0210",True
Octavo,0232,Electrónica 1,6,"0204, 0462",True
Octavo,0250,Mecánica de Fluidos,5,"0114, 0170",True
Octavo,0302,Resistencia de Materiales 2,5,0300,True
Octavo,0156,Física 4,6,0154,False
Noveno,0213,Conversión de Energía Electromecánica 2,5,0212,True
Noveno,0214,Máquinas Eléctricas,7,"0206, 0212",True
Noveno,0390,Termodinámica 1,6,0250,True
Noveno,0522,Procesos de Manufactura 2,5,0520,True
Noveno,0524,Diseño de Máquinas 1,4,"0302, 0452",True
Noveno,0211,Teoría Electromagnética 2,5,0210,False
Noveno,0219,Transmisión y Distribución,5,"0170, 0212, 0218",False
Noveno,0672,Fundamentos de Administración,4,"0520, 2036",False
Décimo,0230,Instrumentación Eléctrica,7,"0206, 0732",True
Décimo,0236,Sistemas de Control 1,5,"0212, 0232",True
Décimo,0392,Termodinámica 2,6,0390,True
Décimo,0526,Diseño de Máquinas 2,4,0524,True
Décimo,0530,Mecanismos,3,"0172, 0452",True
Décimo,0288,Introducción al Estudio de Impacto Ambiental,4,"0214, 0524",False
Décimo,0508,Montaje y Mantenimiento de Equipo,4,0520,False
Décimo,0706,Preparación y Evaluación de Proyectos 1,5,0700,False
Undécimo,0216,Subestaciones,5,"0213, 0214, 0218",True
Undécimo,0220,Análisis de Sistemas de Potencia 1,7,"0213, 0214, 0218",True
Undécimo,0246,Electrónica 3,6,0232,True
Undécimo,0252,Hidráulica,5,0250,True
Undécimo,0506,Plantas de Vapor,6,0392,True
Undécimo,2006,Prácticas Finales Ingeniería Mecánica Eléctrica,0,"2036, 0230, 0526",True
Undécimo,0224,Alta Tensión,7,"0213, 0214, 0218",False
Undécimo,0237,Sistemas de Control 2,5,0236,False
Undécimo,0528,Diseño de Máquinas 3,4,0526,False
Undécimo,0643,Salud y Seguridad Ocupacional,5,0214,False
Duodécimo,0208,Instalaciones Eléctricas,6,0214,True
Duodécimo,0238,Automatización Industrial,6,0214,True
Duodécimo,0532,Vibraciones,6,0530,True
Duodécimo,7994,Seminario de Investigación Mecánica Eléctrica,3,"0220, 0216, 0526",True
Duodécimo,0221,Sistemas de Generación,5,"0220, 0236",False
Duodécimo,0222,Protección de Sistemas de Potencia,5,"0220, 0213",False
Duodécimo,0258,Máquinas Hidráulicas,6,0252,False
Duodécimo,0502,Refrigeración y Aire Acondicionado,6,0392,False
Duodécimo,0504,Motores de Combustión Interna,6,0392,False
Duodécimo,0510,Instalaciones Mecánicas,5,"0506, 0526",False
Duodécimo,0511,Mantenimiento de Hospitales 1,4,"0214, 0302, 0392, 0672",False
Duodécimo,0512,Instrumentación Mecánica,3,"0214, 0506, 0526",False
Duodécimo,7986,Seminario de Investigación E.P.S. Mecánica Eléctrica,3,"0220, 0216, 0526",False
