semestre,codigo,nombre_completo,creditos,pre_requisitos,obligatorio
Primero,0017,Área Social Humanística 1,3,,True
Primero,0069,Área Técnica Complementaria 1,4,,True
Primero,0101,Área Matemática Básica 1,9,,True
Primero,0354,Química 3,6,,True
Primero,0027,Biología,3,,True
Primero,0039,Deportes 1,2,,False
Primero,0371,Introducción a la Ingeniería Química,3,,False
Segundo,0005,Técnicas de Estudio e Investigación,3,,True
Segundo,0019,Área Social Humanística 2,3,0017,True
Segundo,0103,Área Matemática Básica 2,9,0101,True
Segundo,0147,Física Básica,5,0101,True
Segundo,0356,Química 4,6,0354,True
Segundo,0075,Dibujo Computarizado,4,0610,False
Tercero,0028,Ecología,4,0356,True
Tercero,0107,Área Matemática Intermedia 1,9,0103,True
Tercero,0150,Física 1,5,"0103, 0147",True
Tercero,0358,Química Orgánica 1,6,0356,True
Tercero,0362,Análisis Cualitativo,6,0356,True
Tercero,2025,Prácticas Iniciales,,0103,True
Cuarto,0112,Área Matemática Intermedia 2,6,0107,True
Cuarto,0114,Área Matemática Intermedia 3,6,0107,True
Cuarto,0152,Física 2,6,"0107, 0150",True
Cuarto,0360,Química Orgánica 2,6,0358,True
Cuarto,0364,Análisis Cuantitativo,6,0362,True
Quinto,0116,Matemática Aplicada 3,5,"0112, 0114",True
Quinto,0118,Matemática Aplicada 1,5,"0112, 0114",True
Quinto,0380,Físico Química 1,6,"0356, 0114",True
Quinto,0410,Balance de Masa y Energía,6,"0114, 0356",True
Quinto,0732,Estadística 1,5,"0107, 0005",True
Quinto,0001,Ética Profesional,2,0019,False
Quinto,0010,Lógica,1,0019,False
Quinto,0018,Filosofía de la Ciencia,1,0019,False
Sexto,0370,Química Ambiental,3,"0028, 0380",True
Sexto,0382,Físico Química 2,6,0380,True
Sexto,0386,Laboratorio de Físico Química 1,5,0380,True
Sexto,0412,Flujo de Fluidos,5,"0118, 0380, 0410",True
Sexto,0440,Microbiología,6,"0360, 0732",True
Sexto,0022,Psicología Industrial,3,0732,False
Sexto,0040,Deportes 2,2,0039,False
Sexto,0361,Bioquímica 1,5,0360,False
Sexto,0366,Análisis Instrumental,5,"0364, 0360",False
Séptimo,0388,Laboratorio de Físico Química 2,5,0386,True
Séptimo,0394,Termodinámica 3,6,0382,True
Séptimo,0414,IQ-3 Transferencia de Calor,5,"0116, 0412",True
Séptimo,0630,Ingeniería de la Producción,6,0412,True
Séptimo,0672,Fundamentos de Administración,4,0412,True
Séptimo,2036,Prácticas Intermedias,,"2025, 0364, 0412",True
Séptimo,0368,Principios de Metrología,4,"0732, 0152, 0354",False
Séptimo,0419,Gestión de la Innovación y la Tecnología en la Industria,4,0412,False
Séptimo,0435,Recursos y Procesos de Centro América,4,0412,False
Séptimo,0472,Tecnología de los Alimentos,4,"0361, 0412",False
Octavo,0396,Termodinámica 4,6,0394,True
Octavo,0416,IQ-4 Transferencia de Masa,6,"0388, 0414",True
Octavo,0428,Laboratorio de Ingeniería Química 1,5,"0388, 0414",True
Octavo,0700,Ingeniería Económica 1,4,0732,True
Octavo,0198,Calidad del Agua,5,0440,False
Octavo,0200,Ingeniería Eléctrica 1,6,"0114, 0152",False
Octavo,0437,Control de Contaminantes Industriales,3,"0370, 0394, 0414",False
Octavo,0482,Operaciones y Procesos en la Industria Farmacéutica,4,0414,False
Octavo,0643,Salud y Seguridad Ocupacional,5,0440,False
Octavo,0659,Administración de Recursos Humanos,6,0022,False
Noveno,0398,Cinética de Procesos Químicos,6,"0396, 0416",True
Noveno,0418,IQ-5 Transferencia de Masa en Unidades Continuas,5,"0416, 0428",True
Noveno,0430,Laboratorio de Ingeniería Química 2,6,"0416, 0428",True
Noveno,0704,Ingeniería Económica 3,5,"0700, 0416",True
Noveno,0429,Operaciones Unitarias COMP(IQ-6),4,0416,False
Noveno,0433,Ingeniería del Azúcar,4,"0394, 0416",False
Noveno,0442,Bioingeniería 1,4,"0416, 0440",False
Noveno,0484,Conservación de Energía en la Industria,4,"0416, 0396",False
Décimo,0434,Procesos Químicos Industriales,4,"0396, 0418",True
Décimo,0436,Diseño de Equipo,6,"0704, 0418",True
Décimo,0486,Diseño de Plantas,5,"0418, 0704",True
Décimo,2002,Prácticas Finales Ingeniería Química,,"2036, 0418, 0430, 0398",True
Décimo,7902,Seminario de Investigación Química,3,"0418, 0398",True
Décimo,7982,Seminario de Investigación E.P.S. Química,3,"0418, 0398",True
Décimo,0196,Calidad del Aire,6,0198,False
Décimo,0409,Separación por Medio de Membranas Selectivas,4,"0418, 0396",False
Décimo,0421,Gestión Total de la Calidad,4,0418,False
Décimo,0423,Extracciones Industriales,6,0418,False
Décimo,0432,Dinámica de Procesos Químicos,4,"0396, 0418",False
