semestre,codigo,nombre_completo,creditos,pre_requisitos,obligatorio
Primero,0005,Técnicas de Estudio e Investigación,3,,True
Primero,0017,Área Social Humanística 1,3,,True
Primero,0101,Área Matemática Básica 1,9,,True
Primero,0006,Idioma Técnico 1,3,,False
Primero,0039,Deportes 1,2,,False
Segundo,0019,Área Social Humanística 2,3,0017,True
Segundo,0103,Área Matemática Básica 2,9,0101,True
Segundo,0147,Física Básica,5,0101,True
Segundo,0960,Matemática para Computación 1,5,0101,True
Segundo,0008,Idioma Técnico 2,3,0006,False
Segundo,0040,Deportes 2,2,0039,False
Tercero,0107,Área Matemática Intermedia 1,9,0103,True
Tercero,0150,Física 1,5,"0103, 0147",True
Tercero,0770,Introducción a la Programación y Computación 1,6,"0103, 0147, 0960",True
Tercero,0795,Lógica de Sistemas,3,"0103, 0147, 0960",True
Tercero,0962,Matemática para Computación 2,5,"0103, 0147, 0960",True
Tercero,0001,Ética Profesional,2,0019,False
Tercero,0009,Idioma Técnico 3,3,0008,False
Cuarto,0112,Área Matemática Intermedia 2,6,0107,True
Cuarto,0114,Área Matemática Intermedia 3,6,0107,True
Cuarto,0152,Física 2,6,"0107, 0150",True
Cuarto,0771,Introducción a la Programación y Computación 2,6,"0107, 0770, 0795, 0960",True
Cuarto,0796,Lenguajes Formales y de Programación,4,"0770, 0795, 0960",True
Cuarto,2025,Prácticas Iniciales,0,"0103, 0770",True
Cuarto,0010,Lógica,1,0019,False
Cuarto,0011,Idioma Técnico 4,3,0009,False
Quinto,0116,Matemática Aplicada 3,5,"0112, 0114",True
Quinto,0118,Matemática Aplicada 1,5,"0112, 0114",True
Quinto,0732,Estadística 1,5,"0107, 0005",True
Quinto,0772,Estructuras de Datos,6,"0771, 0796, 0962",True
Quinto,0777,Organización de Lenguajes y Compiladores 1,6,"0771, 0796, 0962",True
Quinto,0964,Organización Computacional,4,"0152, 0771, 0962",True
Quinto,0018,Filosofía de la Ciencia,1,0019,False
Sexto,0014,Economía,3,0732,True
Sexto,0601,Investigación de Operaciones I,6,"0732, 0771",True
Sexto,0722,Teoría de Sistemas 1,4,"0116, 0118, 0732, 0772",True
Sexto,0773,Manejo e Implementación de Archivos,5,"0772, 0796",True
Sexto,0778,Arquitectura de Computadores y Ensambladores 1,5,"0796, 0964",True
Sexto,0781,Organización de Lenguajes y Compiladores 2,6,"0772, 0777",True
Sexto,0120,Matemática Aplicada 2,5,0118,False
Sexto,0122,Matemática Aplicada 4,5,0118,False
Sexto,0200,Ingeniería Eléctrica 1,6,"0114, 0152",False
Séptimo,0281,Sistemas Operativos 1,6,"0778, 0781",True
Séptimo,0603,Investigación de Operaciones II,6,0601,True
Séptimo,0724,Teoría de Sistemas 2,4,"0601, 0722",True
Séptimo,0774,Sistemas de Bases de Datos 1,6,0773,True
Séptimo,0779,Arquitectura de Computadores y Ensambladores 2,5,0778,True
Séptimo,0970,Redes de Computadoras 1,5,"0773, 0778",True
Séptimo,2036,Prácticas Intermedias,0,"0773, 0777, 0778, 2025",True
Séptimo,0734,Estadística 2,5,0732,False
Octavo,0283,Análisis y Diseño de Sistemas 1,6,0774,True
Octavo,0285,Sistemas Operativos 2,4,0281,True
Octavo,0775,Sistemas de Bases de Datos 2,7,"0281, 0774",True
Octavo,0797,Seminario de Sistemas I,5,"0281, 0724, 0774",True
Octavo,0975,Redes de Computadoras 2,6,0970,True
Octavo,0700,Ingeniería Económica 1,4,0732,False
Noveno,0729,Modelación y Simulación 1,5,"0603, 0724",True
Noveno,0785,Análisis y Diseño de Sistemas 2,7,0283,True
Noveno,0786,Sistemas Organizacionales y Gerenciales 1,5,"0283, 0722",True
Noveno,0798,Seminario de Sistemas 2,5,"0285, 0775, 0797",True
Noveno,0972,Inteligencia Artificial 1,7,"0724, 0775, 0781",True
Noveno,2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,"0283, 0285, 0975, 2036",True
Noveno,0776,Bases de Datos Avanzadas,5,0775,False
Noveno,0788,Sistemas Aplicados 1,5,0283,False
Noveno,0966,Seguridad y Auditoría de Redes de Computadoras,3,0975,False
Décimo,0720,Modelación y Simulación 2,6,0729,True
Décimo,0780,Software Avanzado,8,0785,True
Décimo,0787,Sistemas Organizacionales y Gerenciales 2,6,0786,True
Décimo,0799,Seminario de Investigación,3,"0785, 0786, 0798",True
Décimo,0735,Auditoría de Proyectos de Software,6,0785,False
Décimo,0789,Sistemas Aplicados 2,5,"0785, 0788",False
Décimo,0790,Emprendedores de Negocios Informáticos,6,0786,False
Décimo,0968,Inteligencia Artificial 2,5,0972,False
Décimo,0974,Redes de Nueva Generación,3,0975,False
Décimo,7999,Seminario de Investigación E.P.S. Sistemas,3,"0785, 0786, 0798",False
