Codigo,Nombre,Nota,Aprobado
5,TECNICAS DE ESTUDIO E INVESTIGACION,79,True
6,IDIOMA TECNICO 1,70,True
17,AREA SOCIAL HUMANISTICA 1,70,True
39,DEPORTES 1,74,True
101,AREA MATEMATICA BASICA 1,61,True
19,AREA SOCIAL HUMANISTICA 2,68,True
40,DEPORTES 2,67,True
147,FISICA BASICA,64,True
960,MATEMATICA PARA COMPUTACION 1,65,True
1,ETICA PROFESIONAL,83,True
103,AREA MATEMATICA BASICA 2,61,True
107,AREA MATEMATICA INTERMEDIA 1,70,True
770,INTRODUCCION A LA PROGRAMACION Y COMPUTACION 1,78,True
795,LOGICA DE SISTEMAS,76,True
962,MATEMATICA PARA COMPUTACION 2,80,True
8,IDIOMA TECNICO 2,79,True
112,AREA MATEMATICA INTERMEDIA 2,62,True
114,AREA MATEMATICA INTERMEDIA 3,64,True
771,INTRODUCCION A LA PROGRAMACION Y COMPUTACION 2,64,True
796,LENGUAJES FORMALES Y DE PROGRAMACION,61,True
2025,PRACTICAS INICIALES,96,True
150,FISICA 1,61,True
732,ESTADISTICA 1,70,True
9,IDIOMA TECNICO 3,63,True
14,ECONOMIA,64,True
116,MATEMATICA APLICADA 3,61,True
772,ESTRUCTURAS DE DATOS,61,True
777,ORGANIZACION DE LENGUAJES Y COMPILADORES 1,61,True
118,MATEMATICA APLICADA 1,62,True
61,CONGRESOS ESTUDIANTILES 2,Aprobado,False
601,INVESTIGACION DE OPERACIONES I,67,True
773,MANEJO E IMPLEMENTACION DE ARCHIVOS,78,True
152,FISICA 2,69,True
603,INVESTIGACION DE OPERACIONES II,74,True
722,TEORIA DE SISTEMAS 1,61,True
781,ORGANIZACION DE LENGUAJES Y COMPILADORES 2,62,True
11,IDIOMA TECNICO 4,61,True
200,INGENIERIA ELECTRICA 1,86,True
724,TEORIA DE SISTEMAS 2,76,True
734,ESTADISTICA 2,72,True
774,SISTEMAS DE BASES DE DATOS 1,73,True
964,ORGANIZACION COMPUTACIONAL,66,True
283,ANALISIS Y DISE\O DE SISTEMAS 1,73,True
778,ARQUITECTURA DE COMPUTADORES Y ENSAMBLADORES 1,76,True
281,SISTEMAS OPERATIVOS 1,89,True
700,INGENIERIA ECONOMICA 1,61,True
729,MODELACION Y SIMULACION 1,78,True
779,ARQUITECTURA DE COMPUTADORES Y ENSAMBLADORES 2,67,True
786,SISTEMAS ORGANIZACIONALES Y GERENCIALES 1,79,True
970,REDES DE COMPUTADORAS 1,85,True
2036,PRACTICAS INTERMEDIAS,85,True
285,Sistemas Operativos 2,,False
785,Analisis y Diseno de Sistemas 2,,False
975,Redes de Computadoras 2,,False
775,Sistemas de Bases de Datos 2,,False
797,Seminario de Sistemas I,,False
720,Modelacion y Simulacion 2,,False
787,Sistemas Organizacionales y Gerenciales 2,,False
780,Software Avanzado,,False
798,Seminario de Sistemas 2,,False
972,Inteligencia Artificial 1,,False
2009,Practicas Finales Ingenieria Ciencias y Sistemas,,False
799,Seminario de Investigacion,,False
