Nombre de Curso,Star,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Aux,Restricciones,Inicio_Min,Final_Min,Codigo,Nombre_Limpio,Dias_Lista
0001 ETICA PROFESIONAL,Clase normal,A,PRESENCIAL,T-1,L-II-2,12:20,13:10,"['X', None, 'X', None, 'X', None, None]",ROGELIO ALFREDO SALAZAR DE LEON,,Sin restricciones,740,790,0001,ETICA PROFESIONAL,"['Lunes', 'Miercoles', 'Viernes']"
0001 ETICA PROFESIONAL,Clase normal,P,PRESENCIAL,T-1,L-II-2,13:10,14:00,"['X', None, 'X', None, 'X', None, None]",ROGELIO ALFREDO SALAZAR DE LEON,,Sin restricciones,790,840,0001,ETICA PROFESIONAL,"['Lunes', 'Miercoles', 'Viernes']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,A,PRESENCIAL,T-3,410,10:40,11:30,"[None, 'X', None, 'X', None, None, None]",EDUARDO MARTIN RIVERA PÉREZ,,Sin restricciones,640,690,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Martes', 'Jueves']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,B,PRESENCIAL,T-3,305,08:50,10:30,"[None, None, None, None, None, 'X', None]",EDWIN JOSUE IXPATA REYES,,Sin restricciones,530,630,0005,TECNICAS DE ESTUDIO E INVESTIGACION,['Sabado']
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,C,PRESENCIAL,T-3,404,11:30,12:20,"['X', None, 'X', None, None, None, None]",INGRID MARISOL FLORES ESTRADA,,Sin restricciones,690,740,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Lunes', 'Miercoles']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,D,PRESENCIAL,T-1,L-II-1,14:00,14:50,"['X', None, 'X', None, None, None, None]",CARLOS ENRIQUE GÓMEZ DONIS,,Sin restricciones,840,890,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Lunes', 'Miercoles']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,F,PRESENCIAL,T-3,407,09:00,09:50,"[None, 'X', 'X', None, None, None, None]",DENNIS STANLEY BARRIOS GONZALEZ,,Sin restricciones,540,590,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Martes', 'Miercoles']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,G,PRESENCIAL,T-3,412,09:00,09:50,"[None, 'X', None, 'X', None, None, None]",WILLIAM ESTUARDO ESCOBAR ARGUETA,,Sin restricciones,540,590,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Martes', 'Jueves']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,H,PRESENCIAL,T-3,110,10:40,11:30,"['X', None, 'X', None, None, None, None]",CINTHYA PATRICIA ORTIZ QUIROA,,Sin restricciones,640,690,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Lunes', 'Miercoles']"
0005 TECNICAS DE ESTUDIO E INVESTIGACION,Clase normal,J,PRESENCIAL,T-3,407,08:00,08:50,"[None, 'X', None, 'X', None, None, None]",JOSE RICARDO DE LEON SOLIS,,Sin restricciones,480,530,0005,TECNICAS DE ESTUDIO E INVESTIGACION,"['Martes', 'Jueves']"
