codigo,nombre
0001,ETICA PROFESIONAL
0005,TECNICAS DE ESTUDIO E INVESTIGACION
0006,IDIOMA TECNICO 1
0008,IDIOMA TECNICO 2
0009,IDIOMA TECNICO 3
0010,LOGICA
0011,IDIOMA TECNICO 4
0014,ECONOMIA
0017,AREA SOCIAL HUMANISTICA 1
0019,AREA SOCIAL HUMANISTICA 2
0022,PSICOLOGIA INDUSTRIAL
0027,BIOLOGIA
0028,ECOLOGIA
0030,GEOGRAFIA
0040,DEPORTES 2
0069,AREA TECNICA COMPLEMENTARIA 1
0071,AREA TECNICA COMPLEMENTARIA 2
0073,DIBUJO TECNICO MECANICO
0074,DIBUJO CONSTRUCTIVO PARA INGENIERIA
0075,DIBUJO COMPUTARIZADO
0080,TOPOGRAFIA 1
0082,TOPOGRAFIA 2
0084,TOPOGRAFIA 3
0090,PROGRAMACION DE COMPUTADORAS 1
0092,PROGRAMACION DE COMPUTADORAS 2
0101,AREA MATEMATICA BASICA 1
0103,AREA MATEMATICA BASICA 2
0107,AREA MATEMATICA INTERMEDIA 1
0112,AREA MATEMATICA INTERMEDIA 2
0114,AREA MATEMATICA INTERMEDIA 3
0116,MATEMATICA APLICADA 3
0118,MATEMATICA APLICADA 1
0120,MATEMATICA APLICADA 2
0122,MATEMATICA APLICADA 4
0123,MATEMATICA APLICADA 5
0147,FISICA BASICA
0150,FISICA 1
0152,FISICA 2
0154,FISICA 3
0156,FISICA 4
0170,MECANICA ANALITICA 1
0172,MECANICA ANALITICA 2
0173,ANALISIS MECANICO
0193,MANEJO DE CUENCAS HIDROGRAFICAS
0196,CALIDAD DEL AIRE
0198,CALIDAD DEL AGUA
0200,INGENIERIA ELECTRICA 1
0201,INSTALACIONES ELECTRICAS (CIVIL)
0202,INGENIERIA ELECTRICA 2
0204,CIRCUITOS ELECTRICOS 1
0206,CIRCUITOS ELECTRICOS 2
0208,INSTALACIONES ELECTRICAS
0209,INSTALACION DE EQUIPOS ELECTRONICOS
0210,TEORIA ELECTROMAGNETICA 1
0211,TEORIA ELECTROMAGNETICA 2
0212,CONVERSION DE ENERGIA ELECTROMECANICA 1
0213,CONVERSION DE ENERGIA ELECTROMECANICA 2
0214,MAQUINAS ELECTRICAS
0216,SUBESTACIONES
0218,LINEAS DE TRANSMISION
0219,TRANSMISION Y DISTRIBUCION
0220,ANALISIS DE SISTEMAS DE POTENCIA 1
0221,SISTEMAS DE GENERACION
0222,PROTECCION DE SISTEMAS DE POTENCIA
0224,ALTA TENSION
0230,INSTRUMENTACION ELECTRICA
0232,ELECTRONICA 1
0233,ELECTRONICA APLICADA 1
0234,ELECTRONICA 4
0235,ROBOTICA
0236,SISTEMAS DE CONTROL 1
0238,AUTOMATIZACION INDUSTRIAL
0239,ELECTRONICA APLICADA 2
0240,ELECTRONICA 2
0241,RADIOCOMUNICACIONES TERRESTRES
0242,COMUNICACIONES 1
0243,COMUNICACIONES 4
0244,COMUNICACIONES 2
0245,COMUNICACIONES 3
0246,ELECTRONICA 3
0248,ELECTRONICA 5
0249,ELECTRONICA 6
0250,MECANICA DE FLUIDOS
0252,HIDRAULICA
0254,HIDROLOGIA
0258,MAQUINAS HIDRAULICAS
0262,AGUAS SUBTERRANEAS
0280,INGENIERIA SANITARIA 1
0281,SISTEMAS OPERATIVOS 1
0282,INGENIERIA SANITARIA 2
0283,ANALISIS Y DISE\O DE SISTEMAS 1
0284,SANEAMIENTO AMBIENTAL
0285,SISTEMAS OPERATIVOS 2
0286,HIDRAULICA DE CANALES
0288,INTRODUCCION AL ESTUDIO DE IMPACTO AMBIENTAL
0300,RESISTENCIA DE MATERIALES 1
0302,RESISTENCIA DE MATERIALES 2
0307,TIPOLOGIA ESTRUCTURAL
0311,ANALISIS ESTRUCTURAL
0314,CONCRETO ARMADO 1
0316,CONCRETO ARMADO 2
0318,CIMENTACIONES 1
0320,CIMENTACIONES 2
0322,DISE\O ESTRUCTURAL 1
0324,DISE\O ESTRUCTURAL 2
0332,PUENTES
0335,GESTION DE DESASTRES
0346,METODOS DE CONSTRUCCION Y SUPERVISION DE OBRAS
0348,QUIMICA GENERAL 1
0349,QUIMICA PARA INGENIERIA CIVIL
0352,QUIMICA 2
0356,QUIMICA 4
0358,QUIMICA ORGANICA 1
0360,QUIMICA ORGANICA 2
0361,BIOQUIMICA 1
0362,ANALISIS CUALITATIVO
0364,ANALISIS CUANTITATIVO
0366,ANALISIS INSTRUMENTAL
0368,PRINCIPIOS DE METROLOGIA
0370,QUIMICA AMBIENTAL
0380,FISICO QUIMICA 1
0382,FISICO QUIMICA 2
0386,LABORATORIO DE FISICO QUIMICA 1
0388,LABORATORIO DE FISICO QUIMICA 2
