Codigo,Nombre
5,TECNICAS DE ESTUDIO E INVESTIGACION
6,IDIOMA TECNICO 1
17,AREA SOCIAL HUMANISTICA 1
39,DEPORTES 1
101,AREA MATEMATICA BASICA 1
19,AREA SOCIAL HUMANISTICA 2
40,DEPORTES 2
147,FISICA BASICA
960,MATEMATICA PARA COMPUTACION 1
1,ETICA PROFESIONAL
103,AREA MATEMATICA BASICA 2
107,AREA MATEMATICA INTERMEDIA 1
770,INTRODUCCION A LA PROGRAMACION Y COMPUTACION 1
795,LOGICA DE SISTEMAS
962,MATEMATICA PARA COMPUTACION 2
8,IDIOMA TECNICO 2
112,AREA MATEMATICA INTERMEDIA 2
114,AREA MATEMATICA INTERMEDIA 3
771,INTRODUCCION A LA PROGRAMACION Y COMPUTACION 2
796,LENGUAJES FORMALES Y DE PROGRAMACION
2025,PRACTICAS INICIALES
150,FISICA 1
732,ESTADISTICA 1
9,IDIOMA TECNICO 3
14,ECONOMIA
116,MATEMATICA APLICADA 3
772,ESTRUCTURAS DE DATOS
777,ORGANIZACION DE LENGUAJES Y COMPILADORES 1
118,MATEMATICA APLICADA 1
601,INVESTIGACION DE OPERACIONES I
773,MANEJO E IMPLEMENTACION DE ARCHIVOS
152,FISICA 2
603,INVESTIGACION DE OPERACIONES II
722,TEORIA DE SISTEMAS 1
781,ORGANIZACION DE LENGUAJES Y COMPILADORES 2
11,IDIOMA TECNICO 4
200,INGENIERIA ELECTRICA 1
724,TEORIA DE SISTEMAS 2
734,ESTADISTICA 2
774,SISTEMAS DE BASES DE DATOS 1
964,ORGANIZACION COMPUTACIONAL
283,ANALISIS Y DISE\O DE SISTEMAS 1
778,ARQUITECTURA DE COMPUTADORES Y ENSAMBLADORES 1
281,SISTEMAS OPERATIVOS 1
700,INGENIERIA ECONOMICA 1
729,MODELACION Y SIMULACION 1
779,ARQUITECTURA DE COMPUTADORES Y ENSAMBLADORES 2
786,SISTEMAS ORGANIZACIONALES Y GERENCIALES 1
970,REDES DE COMPUTADORAS 1
2036,PRACTICAS INTERMEDIAS
285,Sistemas Operativos 2
785,Analisis y Diseno de Sistemas 2
975,Redes de Computadoras 2
775,Sistemas de Bases de Datos 2
797,Seminario de Sistemas I
720,Modelacion y Simulacion 2
787,Sistemas Organizacionales y Gerenciales 2
780,Software Avanzado
798,Seminario de Sistemas 2
972,Inteligencia Artificial 1
2009,Practicas Finales Ingenieria Ciencias y Sistemas
799,Seminario de Investigacion
